iter	Passed	Remaining
890	3828	468
891	3832	464
892	3836	459
893	3842	455
894	3846	451
895	3851	446
896	3854	442
897	3858	438
898	3862	433
899	3866	429
900	3869	425
901	3873	420
902	3878	416
903	3882	412
904	3885	407
905	3889	403
906	3892	399
907	3896	394
908	3900	390
909	3904	386
910	3907	381
911	3911	377
912	3914	373
913	3919	368
914	3922	364
915	3926	360
916	3929	355
917	3933	351
918	3937	347
919	3940	342
920	3944	338
921	3947	333
922	3951	329
923	3954	325
924	3957	320
925	3961	316
926	3968	312
927	3973	308
928	3976	303
929	3980	299
930	3983	295
931	3988	290
932	3991	286
933	3995	282
934	3998	277
935	4003	273
936	4006	269
937	4009	265
938	4012	260
939	4015	256
940	4019	252
941	4022	247
942	4027	243
943	4030	239
944	4033	234
945	4036	230
946	4040	226
947	4043	221
948	4047	217
949	4053	213
950	4061	209
951	4065	204
952	4069	200
953	4072	196
954	4077	192
955	4080	187
956	4084	183
957	4088	179
958	4092	174
959	4096	170
960	4100	166
961	4104	162
962	4108	157
963	4112	153
964	4116	149
965	4119	144
966	4123	140
967	4127	136
968	4130	132
969	4134	127
970	4138	123
971	4142	119
972	4145	115
973	4149	110
974	4153	106
975	4156	102
976	4160	97
977	4164	93
978	4168	89
979	4171	85
980	4175	80
981	4179	76
982	4182	72
983	4186	68
984	4190	63
985	4194	59
986	4197	55
987	4201	51
988	4205	46
989	4209	42
990	4213	38
991	4217	34
992	4220	29
993	4224	25
994	4228	21
995	4231	16
996	4234	12
997	4237	8
998	4241	4
999	4244	0
